,시간봉,달러지수,유가,AMD,NVDA,gal_긍정,gal_부정,gal_합계,twt_긍정,twt_부정,twt_합계,dec_긍정,dec_부정,dec_합계
2020-05-15 00:00:00,11744000,100.400002,31.33,54.200001,339.630005,0,0,0,0,0,0,0,0,0
2020-05-15 01:00:00,11676000,100.400002,31.33,54.200001,339.630005,0,0,0,0,0,0,0,0,0
2020-05-15 02:00:00,11616000,100.400002,31.33,54.200001,339.630005,0,0,0,1,0,1,0,0,0
2020-05-15 03:00:00,11658000,100.400002,31.33,54.200001,339.630005,0,0,0,0,0,0,0,0,0
2020-05-15 04:00:00,11635000,100.400002,31.33,54.200001,339.630005,0,0,0,0,0,0,0,0,0
2020-05-15 05:00:00,11642000,100.400002,31.33,54.200001,339.630005,0,0,0,0,0,0,0,0,0
2020-05-15 06:00:00,11763000,100.400002,31.33,54.200001,339.630005,0,0,0,0,0,0,0,0,0
2020-05-15 07:00:00,11713000,100.400002,31.33,54.200001,339.630005,0,0,0,0,0,0,0,0,0
2020-05-15 08:00:00,11787000,100.400002,31.33,54.200001,339.630005,0,0,0,0,0,0,1,0,1
2020-05-15 09:00:00,11756000,100.400002,31.33,54.200001,339.630005,0,0,0,0,0,0,0,0,0
2020-05-15 10:00:00,11720000,100.400002,31.33,54.200001,339.630005,0,0,0,0,1,1,2,0,2
2020-05-15 11:00:00,11417000,100.400002,31.33,54.200001,339.630005,1,0,1,0,0,0,0,0,0
2020-05-15 12:00:00,11428000,100.400002,31.33,54.200001,339.630005,0,0,0,0,0,0,0,0,0
2020-05-15 13:00:00,11400000,100.400002,31.33,54.200001,339.630005,0,0,0,0,0,0,1,0,1
2020-05-15 14:00:00,11423000,100.400002,31.33,54.200001,339.630005,0,0,0,1,0,1,0,0,0
2020-05-15 15:00:00,11478000,100.400002,31.33,54.200001,339.630005,0,0,0,0,0,0,1,1,2
2020-05-15 16:00:00,11631000,100.400002,31.33,54.200001,339.630005,0,0,0,1,1,2,0,1,1
2020-05-15 17:00:00,11597000,100.400002,31.33,54.200001,339.630005,0,1,1,0,0,0,1,0,1
2020-05-15 18:00:00,11573000,100.400002,31.33,54.200001,339.630005,1,0,1,0,2,2,0,0,0
2020-05-15 19:00:00,11564000,100.400002,31.33,54.200001,339.630005,0,0,0,0,0,0,0,0,0
2020-05-15 20:00:00,11551000,100.400002,31.33,54.200001,339.630005,0,0,0,1,0,1,0,0,0
2020-05-15 21:00:00,11480000,100.400002,31.33,54.200001,339.630005,0,0,0,0,0,0,0,0,0
2020-05-15 22:00:00,11495000,100.400002,31.33,54.200001,339.630005,0,0,0,0,0,0,0,0,0
